;; okuri-ari entries.
;; okuri-nasi entries.
^( /⁽/
mathbfsfNabla /𝝯/
mathbfsfNu /𝝢/
mathbfsfO /𝗢/
mathbfsfOmega /𝝮/
mathbfsfOmicron /𝝤/
mathbfsfP /𝗣/
mathbfsfPhi /𝝫/
mathbfsfPi /𝝥/
mathbfsfPsi /𝝭/
mathbfsfQ /𝗤/
mathbfsfR /𝗥/
mathbfsfRho /𝝦/
mathbfsfS /𝗦/
mathbfsfSigma /𝝨/
mathbfsfT /𝗧/
mathbfsfTau /𝝩/
mathbfsfTheta /𝝝/
mathbfsfU /𝗨/
mathbfsfUpsilon /𝝪/
mathbfsfV /𝗩/
mathbfsfW /𝗪/
mathbfsfX /𝗫/
mathbfsfXi /𝝣/
mathbfsfY /𝗬/
mathbfsfZ /𝗭/
mathbfsfZeta /𝝛/
mathbfsfa /𝗮/
mathbfsfalpha /𝝰/
mathbfsfb /𝗯/
mathbfsfbeta /𝝱/
mathbfsfc /𝗰/
mathbfsfchi /𝞆/
mathbfsfd /𝗱/
mathbfsfdell /𝞉/
mathbfsfdelta /𝝳/
mathbfsfe /𝗲/
mathbfsfepsilon /𝝴/
mathbfsfeta /𝝶/
mathbfsff /𝗳/
mathbfsffsigma /𝞁/
mathbfsfg /𝗴/
mathbfsfgamma /𝝲/
mathbfsfh /𝗵/
mathbfsfi /𝗶/
mathbfsfiota /𝝸/
mathbfsfitA /𝘼/
mathbfsfitAlpha /𝞐/
mathbfsfitB /𝘽/
mathbfsfitBeta /𝞑/
mathbfsfitC /𝘾/
mathbfsfitChi /𝞦/
mathbfsfitD /𝘿/
mathbfsfitDelta /𝞓/
mathbfsfitE /𝙀/
mathbfsfitEpsilon /𝞔/
mathbfsfitEta /𝞖/
mathbfsfitF /𝙁/
mathbfsfitG /𝙂/
mathbfsfitGamma /𝞒/
mathbfsfitH /𝙃/
mathbfsfitI /𝙄/
mathbfsfitIota /𝞘/
mathbfsfitJ /𝙅/
mathbfsfitK /𝙆/
mathbfsfitKappa /𝞙/
mathbfsfitL /𝙇/
mathbfsfitLambda /𝞚/
mathbfsfitM /𝙈/
mathbfsfitMu /𝞛/
mathbfsfitN /𝙉/
mathbfsfitNabla /𝞩/
mathbfsfitNu /𝞜/
mathbfsfitO /𝙊/
mathbfsfitOmega /𝞨/
mathbfsfitOmicron /𝞞/
mathbfsfitP /𝙋/
mathbfsfitPhi /𝞥/
mathbfsfitPi /𝞟/
mathbfsfitPsi /𝞧/
mathbfsfitQ /𝙌/
mathbfsfitR /𝙍/
mathbfsfitRho /𝞠/
mathbfsfitS /𝙎/
mathbfsfitSigma /𝞢/
mathbfsfitT /𝙏/
mathbfsfitTau /𝞣/
mathbfsfitTheta /𝞗/
mathbfsfitU /𝙐/
mathbfsfitUpsilon /𝞤/
mathbfsfitV /𝙑/
mathbfsfitW /𝙒/
mathbfsfitX /𝙓/
mathbfsfitXi /𝞝/
mathbfsfitY /𝙔/
mathbfsfitZ /𝙕/
mathbfsfitZeta /𝞕/
mathbfsfita /𝙖/
mathbfsfitalpha /𝞪/
mathbfsfitb /𝙗/
mathbfsfitbeta /𝞫/
mathbfsfitc /𝙘/
mathbfsfitchi /𝟀/
mathbfsfitd /𝙙/
mathbfsfitdell /𝟃/
mathbfsfitdelta /𝞭/
mathbfsfite /𝙚/
mathbfsfitepsilon /𝞮/
mathbfsfiteta /𝞰/
mathbfsfitf /𝙛/
mathbfsfitfsigma /𝞻/
mathbfsfitg /𝙜/
mathbfsfitgamma /𝞬/
mathbfsfith /𝙝/
mathbfsfiti /𝙞/
mathbfsfitiota /𝞲/
mathbfsfitj /𝙟/
mathbfsfitk /𝙠/
mathbfsfitkappa /𝞳/
mathbfsfitl /𝙡/
mathbfsfitlambda /𝞴/
mathbfsfitm /𝙢/
mathbfsfitmu /𝞵/
mathbfsfitn /𝙣/
mathbfsfitnu /𝞶/
mathbfsfito /𝙤/
mathbfsfitomega /𝟂/
mathbfsfitomicron /𝞸/
mathbfsfitp /𝙥/
mathbfsfitphi /𝞿/
mathbfsfitpi /𝞹/
mathbfsfitpsi /𝟁/
mathbfsfitq /𝙦/
mathbfsfitr /𝙧/
mathbfsfitrho /𝞺/
mathbfsfits /𝙨/
mathbfsfitsTheta /𝞡/
mathbfsfitsepsilon /𝟄/
mathbfsfitsigma /𝞼/
mathbfsfitskappa /𝟆/
mathbfsfitsphi /𝟇/
mathbfsfitspi /𝟉/
mathbfsfitsrho /𝟈/
mathbfsfitstheta /𝟅/
mathbfsfitt /𝙩/
mathbfsfittau /𝞽/
mathbfsfittheta /𝞱/
mathbfsfitu /𝙪/
mathbfsfitupsilon /𝞾/
mathbfsfitv /𝙫/
mathbfsfitw /𝙬/
mathbfsfitx /𝙭/
mathbfsfitxi /𝞷/
mathbfsfity /𝙮/
mathbfsfitz /𝙯/
mathbfsfitzeta /𝞯/
mathbfsfj /𝗷/
mathbfsfk /𝗸/
mathbfsfkappa /𝝹/
mathbfsfl /𝗹/
mathbfsflambda /𝝺/
mathbfsfm /𝗺/
mathbfsfmu /𝝻/
mathbfsfn /𝗻/
mathbfsfnu /𝝼/
mathbfsfo /𝗼/
mathbfsfomega /𝞈/
mathbfsfomicron /𝝾/
mathbfsfp /𝗽/
mathbfsfphi /𝞅/
mathbfsfpi /𝝿/
mathbfsfpsi /𝞇/
mathbfsfq /𝗾/
mathbfsfr /𝗿/
mathbfsfrho /𝞀/
mathbfsfs /𝘀/
mathbfsfsTheta /𝝧/
mathbfsfsepsilon /𝞊/
mathbfsfsigma /𝞂/
mathbfsfskappa /𝞌/
mathbfsfsphi /𝞍/
mathbfsfspi /𝞏/
mathbfsfsrho /𝞎/
mathbfsfstheta /𝞋/
mathbfsft /𝘁/
mathbfsftau /𝞃/
mathbfsftheta /𝝷/
mathbfsfu /𝘂/
mathbfsfupsilon /𝞄/
mathbfsfv /𝘃/
mathbfsfw /𝘄/
mathbfsfx /𝘅/
mathbfsfxi /𝝽/
mathbfsfy /𝘆/
mathbfsfz /𝘇/
